event_date,state,event_type,duration_days,precipitation_anomaly_mm,mei_index,temperature_anomaly_c,wind_anomaly_kmph,damage_estimate_millionusd,intensity_scale
16-07-2011,Punjab,Flood,22,472.88,1.12,-1.31,64.72,28.07,10
11-09-2017,West Bengal,Landslide,18,-122.81,-3,-3.42,28.3,434.29,8
12-09-2019,Jharkhand,Heatwave,16,355.48,-0.7,2.16,32.11,238.76,5
11-06-2015,Sikkim,Cloudburst,5,397.97,-1.25,4.85,37.89,402.63,1
16-01-2024,Bihar,Cloudburst,13,-26.35,1.73,2.74,76.55,169.72,2
25-08-2017,Telangana,Thunderstorm,30,430.74,-1.07,2.88,136.78,187.75,9
21-08-2019,Assam,Thunderstorm,23,408.03,2.84,-4.88,142.6,460.18,1
07-04-2019,Tripura,Cloudburst,27,-0.58,-1.19,6.72,91.45,151.65,4
15-12-2024,Mizoram,Cloudburst,25,-138.23,0.8,2.22,115.36,173.47,1
06-12-2019,Haryana,Cloudburst,10,-120.21,-2.91,-3.28,34.86,169.23,2
22-01-2019,Tamil Nadu,Heatwave,29,-76.27,0.36,5.82,149.7,446.57,5
16-08-2021,Goa,Flood,15,329.86,-0.95,2.19,29.57,409.43,10
03-01-2022,Himachal Pradesh,Landslide,15,-56.2,0.92,-4.83,142.97,318.59,9
23-10-2023,Madhya Pradesh,Flood,15,112.99,2.39,0.68,52.09,206.95,10
27-05-2020,Karnataka,Drought,11,482.68,-1.04,2.78,68.53,60.59,4
25-07-2023,Assam,Cyclone,9,-123.71,-1.85,0.5,108.83,128.19,9
22-07-2021,Odisha,Drought,21,-119.85,1.55,-4.26,120.38,215.13,10
26-10-2013,Haryana,Cloudburst,6,-56.29,0.19,3.91,97.5,73.66,6
09-01-2024,Tripura,Heatwave,30,67.83,1.08,-3.59,52.39,110.04,9
20-05-2024,Himachal Pradesh,Landslide,21,150.08,-0.53,-4.36,59.07,336.26,4
05-05-2013,Gujarat,Hailstorm,7,390.57,-1.99,5.51,98.23,59.85,1
26-07-2022,Jharkhand,Cloudburst,14,-83.71,-0.06,-0.22,105.92,182.85,6
12-12-2015,Chhattisgarh,Drought,13,18.75,1.56,-2.99,15.01,382.64,6
09-10-2024,Sikkim,Landslide,22,309.29,-1.7,-1.95,10.62,209.68,5
14-12-2016,Gujarat,Flood,2,273.39,1.1,5.32,56.45,219.04,7
16-09-2012,Kerala,Flood,7,-51.28,-1.74,-0.92,140.99,118.26,3
27-09-2016,Assam,Landslide,24,470.68,-2.28,-1.01,122.25,18.44,10
04-09-2017,Madhya Pradesh,Drought,4,-172.29,2.49,-3.06,147.4,423.06,1
26-05-2021,Arunachal Pradesh,Heatwave,26,58.92,2.9,2.38,19.39,427.48,3
25-04-2017,Tamil Nadu,Heatwave,11,27.42,-2.85,-1.39,47.17,463.43,5
26-06-2024,Uttar Pradesh,Cyclone,6,332.28,-1.4,-1.17,11.27,403.56,7
16-05-2013,Nagaland,Hailstorm,21,123.08,0.21,-3.33,61.06,22.14,5
12-01-2013,Nagaland,Landslide,22,253.55,-1.26,-1.99,107.34,309.02,10
05-05-2020,Assam,Drought,30,287.51,1.92,-0.1,69.7,299.11,6
12-02-2022,Arunachal Pradesh,Thunderstorm,29,-92.99,-2.34,5.12,47.46,317.09,9
02-04-2020,Uttar Pradesh,Cyclone,17,56.73,1.61,-3.35,48.9,267.94,8
12-01-2020,Maharashtra,Hailstorm,1,240.34,-2.34,0.96,10.86,298.46,8
01-08-2016,Uttar Pradesh,Flood,12,-31.05,2.84,1.43,101.5,480.17,10
13-07-2024,Chhattisgarh,Heatwave,29,120.02,-0.37,5,6.23,383.4,4
10-07-2022,Nagaland,Hailstorm,14,103.68,-2.82,-0.83,0.87,409.32,2
07-12-2016,Chhattisgarh,Landslide,2,7.86,-2.49,1.23,110.37,141.95,3
27-05-2022,Madhya Pradesh,Drought,17,-167.47,2.02,-3.37,27.54,144.75,9
02-01-2022,Arunachal Pradesh,Hailstorm,12,-113.78,0.88,4.09,126.68,447.84,3
17-10-2013,Gujarat,Thunderstorm,9,-71.98,1.19,7.11,90.61,382.65,10
11-08-2015,Chhattisgarh,Thunderstorm,15,69.74,-2.72,-3.79,46.03,82.4,6
24-09-2015,Himachal Pradesh,Flood,23,-156.92,-2.03,-1.02,137.58,439.57,4
17-08-2020,Tripura,Flood,5,378.3,-0.9,-4.54,76.06,317.97,6
25-08-2012,Mizoram,Hailstorm,18,-36.95,1.1,-3.32,36.63,183,8
27-07-2021,Nagaland,Thunderstorm,13,395.61,-0.52,-2,129.31,356.97,4
10-01-2023,Goa,Hailstorm,24,-171.94,1.14,5.46,125.52,368.8,1
02-08-2018,Meghalaya,Cloudburst,5,132.22,-2.74,7.12,77.4,229.54,1
13-04-2010,Andhra Pradesh,Landslide,19,85.38,-0.59,7.13,134.61,274.33,7
14-06-2012,Delhi,Drought,9,-75.41,-0.9,6.69,18.24,308.06,2
18-01-2024,Sikkim,Hailstorm,26,-50.13,0.3,-1.83,25.11,461.86,6
15-07-2013,Tripura,Flood,13,-113.9,0.42,6.7,22.42,434.09,2
16-12-2023,Chhattisgarh,Flood,2,339.22,2.66,3.09,21.44,19.6,4
13-07-2014,Andhra Pradesh,Landslide,5,308.18,0.8,-3.57,128.59,393.77,4
15-09-2021,West Bengal,Flood,12,-115,-0.53,-2.83,111.99,143.23,5
21-06-2024,Jharkhand,Cloudburst,20,-189.33,0.68,-0.67,9.79,315.19,9
23-07-2024,Rajasthan,Heatwave,2,245.67,1.05,-3.46,112.11,475.94,2
13-04-2015,Odisha,Flood,3,204.97,-0.29,7.85,46.99,213.56,5
27-01-2023,Telangana,Thunderstorm,18,143.55,1.62,-4.29,19.85,17.95,3
17-12-2011,Chhattisgarh,Drought,8,-94.93,2.15,0.8,89.76,252.16,4
18-09-2010,Arunachal Pradesh,Hailstorm,6,224.15,1.04,1.64,41.55,223.45,8
12-09-2015,Kerala,Flood,7,104.58,1.22,-4.12,75.32,445.4,4
27-05-2018,Madhya Pradesh,Thunderstorm,28,447.81,1.96,4.4,102.43,356.52,2
26-07-2024,Jharkhand,Thunderstorm,16,31.03,0.8,-4.41,41.09,159.04,8
13-01-2017,Tamil Nadu,Landslide,17,264.1,-0.98,-0.46,126.26,65.93,7
17-07-2021,Tamil Nadu,Flood,2,496.76,1.16,2.07,2.89,454.82,6
19-05-2016,Odisha,Hailstorm,23,443.24,-2.6,-4.48,24.39,194.48,8
05-01-2023,Madhya Pradesh,Cyclone,25,478.23,-1.09,-2.17,5.9,478.48,6
18-07-2014,Himachal Pradesh,Hailstorm,28,236.9,1.27,2.54,34.52,285.17,3
11-12-2023,Telangana,Cyclone,15,-7.79,2.63,-0.29,20.5,37.16,2
01-01-2013,Himachal Pradesh,Cyclone,20,15.3,-1.83,4.78,71.45,136.47,7
23-06-2011,Telangana,Drought,17,325.95,2.85,-0.5,117.47,402.09,6
16-05-2019,Andhra Pradesh,Drought,2,445.92,0.03,1,58.68,499.51,6
04-01-2016,Rajasthan,Cyclone,4,420.62,-2.19,-2.19,43.54,301.43,4
12-01-2019,Meghalaya,Cloudburst,2,484.21,1.34,-1.22,112.3,151.18,9
04-08-2013,Rajasthan,Landslide,28,-155.74,2.54,0.48,110.05,461.95,2
22-08-2024,Mizoram,Heatwave,24,480.44,0.1,-0.02,76.28,164.39,3
12-05-2010,Sikkim,Cyclone,26,461.69,0.35,-4.68,1.49,29.48,6
26-05-2014,Odisha,Drought,9,-94.29,-1.88,-2,130.81,193.36,6
05-09-2013,Bihar,Cyclone,1,275.6,-0.37,7.2,131.12,115.99,9
06-06-2014,Odisha,Cyclone,7,414.37,-2.71,-2.82,120.44,61.29,8
08-04-2014,Tamil Nadu,Thunderstorm,8,210.3,1.89,5.14,98.63,8.71,2
04-05-2015,Karnataka,Landslide,28,-140.91,2.55,-4.59,86.72,112.75,7
15-08-2013,Tripura,Flood,17,-112.55,-0.46,2.16,70.73,409,5
21-06-2015,Sikkim,Heatwave,29,470.63,1.3,-1.36,14.67,130.39,1
16-09-2023,Delhi,Heatwave,6,-8.74,2.87,1.4,78.41,182.23,7
24-07-2020,Goa,Heatwave,29,-132.13,1,-0.55,54.66,136.29,2
19-06-2013,Chhattisgarh,Drought,28,-126.31,-1.63,3.97,44.82,208.5,7
27-06-2018,Arunachal Pradesh,Thunderstorm,14,414.29,-0.4,-0.78,142.3,61.23,9
05-05-2017,Tripura,Cyclone,14,394.03,1.36,-3.09,147.75,313.44,3
26-12-2018,Rajasthan,Cyclone,6,431.47,-1.48,-4.58,72.14,161.84,1
13-09-2019,West Bengal,Hailstorm,25,-172.86,0.35,-1.52,80.87,273.66,10
23-07-2016,Goa,Cloudburst,18,239.73,-2.77,-4.45,26.57,198.49,4
10-08-2023,Mizoram,Hailstorm,9,83.33,-1.86,2.02,115.18,413.01,2
13-02-2018,Assam,Drought,24,-78.35,2.16,2.76,121.33,356.33,3
06-12-2015,Andhra Pradesh,Landslide,20,-9.14,1.35,-3.01,72.8,471.22,3
25-08-2014,Karnataka,Drought,22,-45.8,-1.3,-2.17,108.15,102.3,7
05-01-2016,Goa,Hailstorm,24,-97.18,-1.97,6.98,96.74,473.6,8
17-07-2010,Meghalaya,Heatwave,26,84.94,0.6,-2.09,94.61,267.91,9
21-04-2018,Chhattisgarh,Cyclone,25,-16.45,-0.24,5.83,14.21,315.87,9
20-05-2017,Uttarakhand,Drought,29,100.21,-2.76,-3.04,108.83,356.4,10
04-06-2010,Tripura,Thunderstorm,3,53.06,1.83,4.01,139.09,23.89,9
18-12-2016,Kerala,Cloudburst,22,436.13,0.57,-2.06,93.45,427.97,10
09-07-2011,Telangana,Heatwave,9,173.38,-1.99,4.9,137.27,296.26,10
26-10-2012,Tamil Nadu,Thunderstorm,29,-54.74,1.12,-3.69,29.8,284.46,4
09-01-2024,Himachal Pradesh,Flood,15,405.13,-2.78,5.54,102.08,66.88,1
09-06-2020,Rajasthan,Drought,25,400.28,0.55,1.39,142.15,100.53,9
18-07-2020,Andhra Pradesh,Cyclone,9,352.99,1.25,-1.56,26.5,306.44,10
22-04-2024,Telangana,Cyclone,6,-12.11,0,-3.59,12.59,116.98,2
07-07-2014,Haryana,Heatwave,18,295.94,2.67,3.13,66,190.68,1
10-07-2018,Rajasthan,Landslide,14,148.7,-2.18,-3.84,123.68,295.8,8
06-07-2020,Uttarakhand,Hailstorm,22,-110.01,-1.95,7.38,138.7,305.48,9
19-12-2022,Maharashtra,Cyclone,9,130.68,-0.16,6.45,6.59,472.8,3
09-01-2022,Tripura,Heatwave,17,344.01,-1.09,2.42,80.14,201.44,8
06-01-2010,Delhi,Heatwave,15,256.03,0.99,-3.69,46.04,262.42,6
08-06-2016,Himachal Pradesh,Cloudburst,21,35.59,0.86,0.62,115.42,330.32,3
10-07-2024,Tamil Nadu,Heatwave,18,75.66,-1.69,4.53,2.45,68.89,8
24-06-2024,Telangana,Landslide,24,129.8,2.33,-1.4,1.06,19.04,3
09-06-2016,Mizoram,Heatwave,28,-122.67,-2.87,4.28,87.65,68.94,5
15-10-2019,Meghalaya,Landslide,25,471.4,1.69,6.51,5.85,217.37,1
16-06-2024,Meghalaya,Flood,22,-122.77,0.77,6,32.43,58.21,1
01-12-2024,Andhra Pradesh,Cloudburst,18,176.08,-2.23,-2.52,26.37,364.88,5
22-05-2023,Punjab,Drought,10,437.49,-1.33,-4.41,12.18,388.33,4
09-02-2020,Assam,Drought,11,-15.16,0.39,-0.33,116.7,460.92,1
23-08-2015,Nagaland,Hailstorm,2,256.97,2.84,1.75,122.82,90.76,6
17-01-2020,Tripura,Heatwave,12,-151.26,-2.33,2.34,111.36,112.55,3
27-06-2010,Himachal Pradesh,Heatwave,14,199.23,1.75,-0.25,40.84,410.12,1
23-09-2012,Bihar,Thunderstorm,20,305.49,2.54,-0.18,147.04,7.35,8
08-01-2024,Delhi,Flood,22,188.25,-2.72,3.96,34.39,178.75,10
08-07-2010,Chhattisgarh,Thunderstorm,4,143.9,2.29,2.8,132.54,459.76,4
23-05-2019,Nagaland,Cyclone,4,228.54,0.29,2.63,94.62,475.71,4
25-01-2017,Uttar Pradesh,Cyclone,19,339.47,0.16,-4.5,17.22,166.04,8
09-07-2016,Jharkhand,Landslide,7,-75.48,-0.44,2.6,149.47,111.58,6
17-06-2011,Delhi,Flood,30,-133.5,1.86,3.13,117.08,5.21,4
12-06-2010,West Bengal,Landslide,5,-173.89,-1.27,6.28,77.68,199.65,5
07-04-2013,Mizoram,Landslide,4,138.12,0.02,4.46,51.96,307.67,2
01-06-2017,Delhi,Thunderstorm,2,-170.25,1.9,3.28,67.58,111.35,9
06-07-2012,Andhra Pradesh,Flood,21,290.85,1.12,-0.59,147.82,367.81,5
25-08-2020,Nagaland,Cloudburst,15,19.19,-2.33,6.67,87.18,310.56,9
01-09-2014,Haryana,Thunderstorm,16,268.76,-1.78,-0.26,113.7,394.79,9
06-05-2020,Rajasthan,Cloudburst,17,-185.59,-2.27,-4.05,21.24,340.77,7
01-07-2020,Himachal Pradesh,Heatwave,14,315.34,-0.13,-0.91,11.59,210.68,6
21-09-2023,Meghalaya,Hailstorm,21,86.93,-0.57,5.27,108.99,206.26,3
02-08-2019,West Bengal,Landslide,16,-81.76,1.95,5.08,3.44,28.52,5
09-07-2015,Maharashtra,Drought,7,101.5,1.03,1.72,144.54,311.47,5
08-09-2023,Manipur,Heatwave,4,-41.9,-0.56,6.56,95.84,494.16,7
10-08-2019,Odisha,Hailstorm,11,-116.05,-2.92,-0.78,1.93,173.98,9
09-01-2011,Mizoram,Thunderstorm,18,144.4,1.19,4.67,26.38,270.7,8
13-06-2018,Madhya Pradesh,Cyclone,8,287,0.85,2.08,9.53,307.49,7
04-12-2010,Telangana,Drought,15,-3.64,-2.44,5.86,81.8,418.02,8
16-02-2013,Maharashtra,Hailstorm,11,430.09,2.75,4.1,90.35,337.52,2
15-01-2021,Assam,Cyclone,30,-105.22,-0.67,4.07,96.12,305.06,6
05-09-2019,Delhi,Thunderstorm,10,352.09,1.01,3.91,139.18,44.77,8
07-07-2015,Uttar Pradesh,Hailstorm,13,276.48,1.49,3.59,146.47,425.58,5
10-07-2016,Rajasthan,Thunderstorm,17,288.39,-1.26,-0.64,29.55,13.08,10
06-10-2018,Assam,Flood,9,499.93,1.35,5.97,67.17,192.01,3
08-05-2017,Kerala,Cyclone,14,-71.79,-1.05,3.25,58.14,398.11,4
15-01-2018,Kerala,Cloudburst,24,337.46,0.98,1.79,95.73,16.77,3
18-04-2014,Karnataka,Landslide,30,-124.5,1.88,-1.06,87.35,177.27,3
04-04-2014,West Bengal,Drought,10,276.99,0.73,0.5,8.5,224.16,4
14-04-2019,Delhi,Heatwave,8,61.97,2.02,0.39,24.71,45.66,1
10-08-2016,Mizoram,Drought,19,91.38,1.26,-1.87,121.59,352.31,6
13-05-2015,Haryana,Flood,2,440.1,2.73,-1.05,6.04,46,6
22-02-2014,Assam,Hailstorm,13,49.35,-1.49,-0.68,54.32,276.87,2
02-08-2018,Meghalaya,Drought,21,-127.98,-2.06,7.82,146.8,98.62,5
15-12-2019,Mizoram,Thunderstorm,4,40.72,-1.79,3.33,106.21,162.11,3
20-06-2012,Tamil Nadu,Landslide,5,332.6,0.17,2.17,97.56,410.97,9
15-07-2011,Haryana,Flood,29,316.77,-0.41,-0.67,118.96,62.76,7
17-12-2022,Kerala,Heatwave,30,-42.59,-2.97,-4.89,17.95,129.35,5
22-05-2017,Haryana,Drought,8,-86.43,-1.62,-3.73,32.67,350.17,2
22-07-2018,Delhi,Drought,17,353.61,0.83,-3.58,64.1,421.64,2
05-10-2019,Meghalaya,Heatwave,4,-132.85,-0.17,5.8,16.07,241.04,5
08-09-2023,Maharashtra,Thunderstorm,23,275.4,-0.08,4.76,1.72,101.3,5
25-09-2019,Uttar Pradesh,Landslide,10,462.05,2.25,6.73,29.58,33.59,5
22-01-2021,Madhya Pradesh,Hailstorm,11,207.95,-1.92,-4.79,53.78,236.25,3
03-04-2010,Karnataka,Cloudburst,19,27.64,0.72,6.6,100.39,152.06,9
12-10-2018,Meghalaya,Heatwave,23,-113.44,-0.1,5.46,17.46,139.35,8
09-06-2022,Tripura,Cloudburst,27,-134.09,-0.68,3.49,94.09,339.33,1
23-12-2023,Assam,Cloudburst,2,290.79,0.64,4.29,76.36,220.27,9
11-01-2016,Madhya Pradesh,Cyclone,14,-64.74,1.6,-4.56,49.06,180.68,7
08-07-2013,West Bengal,Hailstorm,21,104.72,1.34,6.91,22.71,121.24,2
13-01-2021,Jharkhand,Cyclone,22,423.26,-0.26,7.27,32.95,178.61,6
08-05-2013,Himachal Pradesh,Hailstorm,12,464.12,1.84,4.74,57.44,70.02,7
12-09-2024,Nagaland,Cyclone,23,-121.58,-0.32,3.95,65.31,173.98,10
22-07-2012,Meghalaya,Heatwave,5,294.89,2.98,2.96,78.32,474.47,2
24-01-2021,Uttarakhand,Heatwave,6,139.66,1.96,7.31,4.59,210.5,4
13-01-2017,Gujarat,Drought,13,230.56,2.57,-4.75,124.68,239.55,8
02-08-2010,Nagaland,Flood,13,-102.07,0.82,-2.86,0.69,330.15,7
